Date : 4/12/2019 12:12:19 AM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "test message"
Date : 4/12/2019 12:12:29 AM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : "test message"
Date : 4/18/2019 12:17:52 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".hi"
Date : 4/18/2019 12:18:03 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 12:18:03 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 12:18:07 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/18/2019 1:39:03 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:39:38 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:39:38 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 1:39:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "Very basic types have been recorded for the game"
Date : 4/18/2019 1:39:50 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/18/2019 1:43:08 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:43:09 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 1:48:51 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:48:52 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 1:48:59 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/18/2019 1:57:49 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 1:57:50 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 1:57:53 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".off"
Date : 4/18/2019 2:03:20 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 2:03:23 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 2:04:37 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 2:04:39 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 2:06:25 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 2:08:44 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ".rpgcc"
Date : 4/18/2019 2:08:46 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ".rpgcc"
Date : 4/18/2019 2:22:52 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "?hi"
